ID_ESTAC,NOM_ESTACIO,NOM_ORIGINAL,DATA_DIA,DATA_EXTRACCIO,URL_FONT,GRUIX_NEU_MAX,HUMITAT_MITJANA_DIA,PRECIPITACIO_ACUM_DIA,PRESSIO_ATMOSFERICA,RADIACIO_GLOBAL,RATXA_VENT_MAX,TEMPERATURA_MAXIMA_DIA,TEMPERATURA_MINIMA_DIA,TEMPERATURA_MITJANA_DIA
J5,Pantà de Darnius - Boadella,PANTA_DE_DARNIUS___BOADELLA_J5,2026-01-22,2026-01-22 06:47:41,https://www.meteo.cat/observacions/xema/dades?codi=J5&dia=2026-01-22T09:00Z,,89%,0.0 mm,993.9 hPa,0.0 MJ/m2,23.0 km/h - 322º 4:25 TU,11.1 °C 0:33 TU,6.8 °C 4:05 TU,8.3 °C
XG,Parets del Vallès,PARETS_DEL_VALLES_XG,2026-01-22,2026-01-22 06:47:43,https://www.meteo.cat/observacions/xema/dades?codi=XG&dia=2026-01-22T09:00Z,,100%,0.0 mm,995.1 hPa,0.0 MJ/m2,12.2 km/h - 34º 4:16 TU,10.3 °C 0:20 TU,9.1 °C 5:05 TU,9.6 °C
V5,Perafita,PERAFITA_V5,2026-01-22,2026-01-22 06:47:46,https://www.meteo.cat/observacions/xema/dades?codi=V5&dia=2026-01-22T09:00Z,,100%,0.0 mm,,0.0 MJ/m2,16.2 km/h - 273º 3:38 TU,5.1 °C 3:45 TU,4.3 °C 0:31 TU,4.6 °C
VP,Pinós,PINOS_VP,2026-01-22,2026-01-22 06:47:48,https://www.meteo.cat/observacions/xema/dades?codi=VP&dia=2026-01-22T09:00Z,,96%,0.4 mm,,0.0 MJ/m2,25.2 km/h - 287º 5:18 TU,6.7 °C 0:56 TU,5.3 °C 3:06 TU,6.0 °C
D6,Portbou - Coll dels Belitres,PORTBOU___COLL_DELS_BELITRES_D6,2026-01-22,2026-01-22 06:47:51,https://www.meteo.cat/observacions/xema/dades?codi=D6&dia=2026-01-22T09:00Z,,75%,0.0 mm,993.0 hPa,0.0 MJ/m2,75.2 km/h - 340º 5:28 TU,10.7 °C 4:51 TU,9.6 °C 3:20 TU,10.2 °C
XR,Prades,PRADES_XR,2026-01-22,2026-01-22 06:47:53,https://www.meteo.cat/observacions/xema/dades?codi=XR&dia=2026-01-22T09:00Z,1 cm,100%,0.6 mm,,0.0 MJ/m2,32.8 km/h - 304º 5:22 TU,4.9 °C 1:10 TU,3.5 °C 5:28 TU,4.1 °C
YA,Puigcerdà,PUIGCERDA_YA,2026-01-22,2026-01-22 06:47:56,https://www.meteo.cat/observacions/xema/dades?codi=YA&dia=2026-01-22T09:00Z,,94%,0.0 mm,996.3 hPa,0.0 MJ/m2,6.1 km/h - 307º 0:56 TU,2.1 °C 0:02 TU,0.9 °C 5:01 TU,1.6 °C
YH,Pujalt,PUJALT_YH,2026-01-22,2026-01-22 06:47:58,https://www.meteo.cat/observacions/xema/dades?codi=YH&dia=2026-01-22T09:00Z,,100%,0.3 mm,,0.0 MJ/m2,24.1 km/h - 253º 4:52 TU,5.9 °C 0:56 TU,4.8 °C 5:29 TU,5.5 °C
DG,Queralbs - Núria (1.971 m),QUERALBS___NURIA_1971_M_DG,2026-01-22,2026-01-22 06:48:01,https://www.meteo.cat/observacions/xema/dades?codi=DG&dia=2026-01-22T09:00Z,107 cm,82%,0.0 mm,,0.0 MJ/m2,30.2 km/h - 39º 4:30 TU,1.5 °C 0:00 TU,-3.8 °C 1:33 TU,-1.5 °C
VU,Rellinars,RELLINARS_VU,2026-01-22,2026-01-22 06:48:03,https://www.meteo.cat/observacions/xema/dades?codi=VU&dia=2026-01-22T09:00Z,,93%,0.0 mm,,0.0 MJ/m2,14.8 km/h - 190º 0:11 TU,8.9 °C 2:19 TU,6.7 °C 5:21 TU,7.8 °C
