ID_ESTAC,NOM_ESTACIO,NOM_ORIGINAL,DATA_DIA,DATA_EXTRACCIO,URL_FONT,GRUIX_NEU_MAX,HUMITAT_MITJANA_DIA,PRECIPITACIO_ACUM_DIA,PRESSIO_ATMOSFERICA,RADIACIO_GLOBAL,RATXA_VENT_MAX,TEMPERATURA_MAXIMA_DIA,TEMPERATURA_MINIMA_DIA,TEMPERATURA_MITJANA_DIA
W1,Castelló D'empúries,CASTELLO_DEMPURIES_W1,2026-02-07,2026-02-07 17:58:49,https://www.meteo.cat/observacions/xema/dades?codi=W1&dia=2026-02-07T09:00Z,,83%,0.0 mm,,,,16.3 °C 12:55 TU,6.2 °C 3:18 TU,10.6 °C
C8,Cervera,CERVERA_C8,2026-02-07,2026-02-07 17:58:51,https://www.meteo.cat/observacions/xema/dades?codi=C8&dia=2026-02-07T09:00Z,,82%,0.0 mm,1006.6 hPa,12.3 MJ/m2,52.6 km/h - 266º 11:36 TU,10.2 °C 14:17 TU,2.2 °C 7:13 TU,6.2 °C
VQ,Constantí,CONSTANTI_VQ,2026-02-07,2026-02-07 17:58:54,https://www.meteo.cat/observacions/xema/dades?codi=VQ&dia=2026-02-07T09:00Z,,54%,0.0 mm,1006.3 hPa,12.1 MJ/m2,43.9 km/h - 281º 11:31 TU,15.6 °C 14:37 TU,6.9 °C 1:17 TU,11.8 °C
MR,Cornudella de Montsant - Pantà de Siurana,CORNUDELLA_DE_MONTSANT___PANTA_DE_SIURANA_MR,2026-02-07,2026-02-07 17:58:56,https://www.meteo.cat/observacions/xema/dades?codi=MR&dia=2026-02-07T09:00Z,,62%,0.0 mm,1006.8 hPa,11.1 MJ/m2,56.5 km/h - 279º 6:07 TU,13.6 °C 13:47 TU,5.5 °C 2:19 TU,8.7 °C
WZ,Cunit,CUNIT_WZ,2026-02-07,2026-02-07 17:58:59,https://www.meteo.cat/observacions/xema/dades?codi=WZ&dia=2026-02-07T09:00Z,,54%,0.0 mm,1006.3 hPa,12.0 MJ/m2,45.7 km/h - 327º 8:41 TU,16.7 °C 14:19 TU,7.3 °C 0:50 TU,12.6 °C
DP,Das - Aeròdrom,DAS___AERODROM_DP,2026-02-07,2026-02-07 17:59:01,https://www.meteo.cat/observacions/xema/dades?codi=DP&dia=2026-02-07T09:00Z,1 cm,82%,2.7 mm,1006.1 hPa,8.8 MJ/m2,23.8 km/h - 227º 12:57 TU,8.6 °C 14:26 TU,0.7 °C 2:30 TU,3.4 °C
UQ,Dosrius - Pn Montnegre Corredor,DOSRIUS___PN_MONTNEGRE_CORREDOR_UQ,2026-02-07,2026-02-07 17:59:03,https://www.meteo.cat/observacions/xema/dades?codi=UQ&dia=2026-02-07T09:00Z,,64%,0.0 mm,,13.1 MJ/m2,31.0 km/h - 226º 12:57 TU,12.6 °C 14:03 TU,6.3 °C 7:07 TU,9.2 °C
WJ,El Masroig - el Masroig,EL_MASROIG___EL_MASROIG_WJ,2026-02-07,2026-02-07 17:59:06,https://www.meteo.cat/observacions/xema/dades?codi=WJ&dia=2026-02-07T09:00Z,,71%,0.1 mm,,,37.1 km/h - 282º 12:36 TU,15.1 °C 13:29 TU,4.2 °C 7:36 TU,9.6 °C
UH,El Montmell - el Montmell,EL_MONTMELL___EL_MONTMELL_UH,2026-02-07,2026-02-07 17:59:08,https://www.meteo.cat/observacions/xema/dades?codi=UH&dia=2026-02-07T09:00Z,,65%,0.0 mm,,12.6 MJ/m2,54.4 km/h - 244º 11:23 TU,11.7 °C 13:59 TU,5.9 °C 7:36 TU,8.1 °C
DB,El Perelló - el Perelló,EL_PERELLO___EL_PERELLO_DB,2026-02-07,2026-02-07 17:59:11,https://www.meteo.cat/observacions/xema/dades?codi=DB&dia=2026-02-07T09:00Z,,53%,0.0 mm,1006.9 hPa,12.0 MJ/m2,58.3 km/h - 271º 8:40 TU,16.6 °C 13:47 TU,9.4 °C 0:02 TU,11.8 °C
